licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,824989,2022-01-06,463770,200, ,3.91,782.0,39136,35238,157.452,0
0,829947,2022-01-05,463770,2678, ,3.7,9908.6,41238,42650,217.838,0
0,834040,2022-01-19,463770,230, ,5.76,1324.8,52558,0,0.0,0
0,834104,2022-01-05,463770,120, ,4.45,534.0,62294,0,0.0,0
0,834287,2022-01-19,463770,230, ,5.76,1324.8,52558,0,0.0,0
0,845633,2022-02-02,463770,20, ,5.76,115.2,52558,0,0.0,0
0,847426,2022-01-18,463770,400, ,4.12,1648.0,17655,0,0.0,0
0,847433,2022-02-01,463770,400, ,3.83,1532.0,54038,54038,0.0,0
0,848824,2022-01-28,463770,180, ,5.65,1017.0,63231,62855,328.313,0
0,849579,2022-02-01,463770,960, ,4.03,3868.8,17612,18856,71.9736,0
0,861313,2022-02-23,463770,300, ,4.13,1239.0,36617,0,0.0,0
0,862195,2022-02-22,463770,3000, ,4.99,14970.0,90476,90670,177.54,0
0,864335,2022-02-08,463770,1000, ,2.95,2950.0,46477,63690,53.1187,0
0,864693,2022-02-15,463770,100, ,4.4,440.0,18490,0,0.0,0
0,865528,2022-02-15,463770,150, ,3.19,478.5,52493,47333,117.504,0
0,866624,2022-02-15,463770,150, ,3.19,478.5,52493,47333,117.504,0
0,867548,2022-02-15,463770,1500, ,2.09,3135.0,50490,41238,331.56,0
0,867725,2022-02-15,463770,150, ,3.19,478.5,52493,47333,117.504,0
0,876330,2022-03-21,463770,1000, ,5.55,5550.0,88510,88510,0.0,0
0,876395,2022-03-21,463770,2225, ,5.55,12348.8,88510,88650,47.7038,0
0,876526,2022-01-19,463770,2000, ,6.5,13000.0,14478,13854,11.5267,0
0,883441,2022-03-30,463770,10658, ,2.43,25898.9,88412,88412,0.0,0
0,884326,2022-04-01,463770,40, ,4.14,165.6,32336,30295,258.324,0
0,885266,2022-03-29,463770,6250, ,2.83,17687.5,58831,60011,137.403,0
0,886675,2022-03-24,463770,360, ,2.4,864.0,47333,47333,0.0,0
0,886911,2022-04-07,463770,400, ,6.5,2600.0,13854,13854,0.0,0
0,887140,2022-03-30,463770,120, ,3.19,382.8,52493,47333,117.504,0
0,887414,2022-04-06,463770,3200, ,5.63,18016.0,87912,87912,0.0,0
0,887902,2022-04-01,463770,40, ,4.14,165.6,32336,30295,258.324,0
0,889485,2022-04-07,463770,400, ,6.5,2600.0,13854,13854,0.0,0
0,889732,2022-04-11,463770,800, ,4.48,3584.0,62090,62090,0.0,0
0,889990,2022-04-06,463770,360, ,6.44,2318.4,2550,2550,0.0,0
0,890530,2022-01-27,463770,100, ,5.33,533.0,11533,12190,268.497,0
0,891893,2022-03-30,463770,400, ,8.34,3336.0,83399,0,0.0,0
0,893612,2022-03-30,463770,4000, ,1.7,6800.0,58831,60011,137.403,0
0,896736,2022-04-18,463770,240, ,3.24,777.6,52493,47333,117.504,0
0,897933,2022-04-18,463770,240, ,3.24,777.6,52493,47333,117.504,0
0,900290,2022-04-13,463770,1600, ,10.45,16720.0,48658,0,0.0,0
0,902441,2022-04-26,463770,640, ,6.12,3916.8,50490,41238,331.56,0
0,904603,2022-04-27,463770,1000, ,4.28,4280.0,20036,0,0.0,0
0,904741,2022-05-10,463770,162, ,4.85,785.7,3018,3018,0.0,0
0,907826,2022-05-10,463770,4750, ,7.98,37905.0,60011,60011,0.0,0
0,909018,2022-05-12,463770,10000, ,2.88,28800.0,97012,20672,1627.52,0
0,909610,2022-05-13,463770,4000, ,3.04,12160.0,57053,57258,55.3709,0
0,909676,2022-05-13,463770,3000, ,3.06,9180.0,57053,57258,55.3709,0
0,909707,2022-05-13,463770,1500, ,4.75,7125.0,57053,57258,55.3709,0
0,910435,2022-05-18,463770,450, ,6.35,2857.5,47333,47333,0.0,0
0,911568,2022-05-18,463770,1000, ,7.2,7200.0,46477,46477,0.0,0
0,912739,2022-05-06,463770,120, ,6.35,762.0,47333,47333,0.0,0
0,915254,2022-03-14,463770,2400, ,2.35,5640.0,93610,97012,68.8205,0
0,920938,2022-05-20,463770,160, ,3.96,633.6,58475,60011,157.017,0
0,921617,2022-06-01,463770,515, ,6.5,3347.5,13854,13854,0.0,0
0,922936,2022-05-31,463770,960, ,5.92,5683.2,90417,91316,95.2834,0
0,923402,2022-05-30,463770,4485, ,5.41,24263.8,81051,81833,176.766,0
0,924904,2022-05-31,463770,48870, ,3.39,165669.0,97012,95958,50.0639,0
0,927872,2022-06-10,463770,270, ,5.0,1350.0,13897,0,0.0,0
0,929701,2022-06-13,463770,660, ,4.85,3201.0,48658,48658,0.0,0
0,931060,2022-06-15,463770,530, ,11.3,5989.0,35335,35335,0.0,0
0,931862,2022-06-06,463770,14376, ,8.08,116158.0,90514,90514,0.0,0
0,931897,2022-06-06,463770,4190, ,8.08,33855.2,90514,91570,1454.23,0
0,931928,2022-06-06,463770,5500, ,8.08,44440.0,90514,90131,1454.23,0
0,934306,2022-06-22,463770,500, ,3.95,1975.0,88412,88412,0.0,0
0,934315,2022-06-22,463770,400, ,3.95,1580.0,88412,88412,0.0,0
0,937529,2022-06-24,463770,120, ,3.24,388.8,47333,47333,0.0,0
0,938267,2022-06-28,463770,983, ,4.14,4069.62,68870,68870,0.0,0
0,938855,2022-06-27,463770,990, ,5.0,4950.0,25216,25216,0.0,0
0,940909,2022-07-01,463770,640, ,9.35,5984.0,85596,24139,1454.23,0
0,941905,2022-07-04,463770,1260, ,5.92,7459.2,22250,22250,0.0,0
0,942026,2022-07-06,463770,500, ,3.9,1950.0,74934,99694,1454.23,0
0,943039,2022-06-22,463770,1500, ,6.12,9180.0,50490,41238,1454.23,0
0,944388,2022-07-11,463770,120, ,3.24,388.8,52493,47333,1454.23,0
0,944506,2022-06-30,463770,600, ,8.0,4800.0,5355,5355,0.0,0
0,944835,2022-06-15,463770,800, ,7.95,6360.0,31054,32077,1454.23,0
0,944952,2022-07-11,463770,2500, ,39.45,98625.0,81051,82937,1454.23,1
0,946806,2022-07-14,463770,20, ,5.95,119.0,2518,2518,0.0,0
0,946834,2022-07-14,463770,30, ,11.0,330.0,2518,2518,0.0,0
0,946864,2022-07-14,463770,1400, ,6.1,8540.0,2518,2518,0.0,0
0,947479,2022-07-13,463770,280, ,5.74,1607.2,15636,13854,1454.23,0
0,947666,2022-07-18,463770,850, ,4.4,3740.0,13897,14559,1454.23,0
0,948990,2022-07-19,463770,480, ,13.65,6553.58,35335,71072,1454.23,1
0,952130,2022-07-27,463770,370, ,6.17,2282.9,39012,39012,0.0,0
0,953680,2022-07-25,463770,120, ,3.24,388.8,52493,47333,1454.23,0
