licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,824978,2022-01-06,464381,150, ,3.9,585.0,39136,35238,157.452,0
0,825437,2022-01-05,464381,200, ,5.29,1058.0,98558,13854,393.556,0
0,831382,2022-01-12,464381,1000, ,4.01,4005.06,34495,34495,0.0,0
0,831471,2022-01-05,464381,322, ,4.47,1439.34,40339,0,0.0,0
0,831477,2022-01-05,464381,322, ,4.47,1439.34,40339,0,0.0,0
0,831491,2022-01-05,464381,506, ,4.47,2261.82,40339,0,0.0,0
0,831497,2022-01-05,464381,554, ,4.47,2476.38,40339,0,0.0,0
0,831512,2022-01-05,464381,322, ,4.47,1439.34,40339,0,0.0,0
0,831519,2022-01-05,464381,322, ,4.47,1439.34,40339,0,0.0,0
0,831526,2022-01-05,464381,150, ,4.47,670.5,40339,0,0.0,0
0,833942,2022-01-19,464381,750, ,5.27,3952.5,52558,0,0.0,0
0,833960,2022-01-19,464381,30, ,31.0,930.0,52558,0,0.0,1
0,834007,2022-01-19,464381,750, ,5.27,3952.5,52558,0,0.0,0
0,838869,2022-01-25,464381,3146, ,3.97,12491.8,60011,60011,0.0,0
0,838870,2022-01-25,464381,3146, ,3.97,12491.8,60011,60011,0.0,0
0,841235,2022-01-03,464381,250, ,4.99,1247.5,5614,0,0.0,0
0,842484,2022-01-07,464381,100, ,6.24,624.0,7781,0,0.0,0
0,842672,2022-01-07,464381,100, ,6.24,624.0,7781,0,0.0,0
0,842703,2022-01-07,464381,100, ,6.24,624.0,7781,0,0.0,0
0,842733,2022-01-07,464381,100, ,4.8,480.0,7781,0,0.0,0
0,842791,2022-01-07,464381,100, ,4.8,480.0,7781,0,0.0,0
0,842946,2022-01-20,464381,269, ,4.53,1218.57,14559,14559,0.0,0
0,846510,2022-02-02,464381,650, ,3.91,2541.5,40894,0,0.0,0
0,850808,2022-02-03,464381,1000, ,3.95,3950.0,86592,0,0.0,0
0,858096,2022-01-25,464381,3146, ,3.97,12491.8,60011,60011,0.0,0
0,858097,2022-01-25,464381,3146, ,3.97,0.0,60011,60011,0.0,0
0,858844,2022-02-16,464381,510, ,5.45,2779.5,13838,13838,0.0,0
0,858847,2022-02-18,464381,1086, ,3.76,4083.36,23272,23272,0.0,0
0,861307,2022-02-23,464381,500, ,2.74,1370.0,36617,0,0.0,0
0,863619,2022-02-08,464381,2500, ,3.97,9925.0,46477,58475,377.834,0
0,863642,2022-03-02,464381,320, ,4.67,1494.4,20516,21750,12.272,0
0,868266,2022-02-18,464381,200, ,3.0,600.0,4278,4472,66.0688,0
0,868646,2022-03-04,464381,500, ,6.1,3050.0,12190,0,0.0,0
0,868711,2022-03-04,464381,500, ,6.1,3050.0,12190,0,0.0,0
0,872868,2022-03-01,464381,24400, ,3.99,97356.0,53856,47791,69.3291,0
0,875647,2022-03-14,464381,644, ,4.67,3007.48,80470,0,0.0,0
0,876004,2022-03-21,464381,6560, ,4.88,32012.8,88510,88412,115.877,0
0,876509,2022-01-19,464381,2500, ,4.1,10250.0,14478,13854,11.5267,0
