data,quantidade,valor_unitario,anomalia
265.0,16875,5.93,1
265.0,5625,5.93,0
266.0,100,8.22,0
266.0,120,8.5,0
259.0,1200,5.1,0
259.0,340,15.9,0
259.0,24,19.45,1
259.0,72,17.55,1
259.0,72,19.1,1
271.0,900,8.0,0
271.0,480,7.0,0
205.0,5000,7.4,0
277.0,60,22.9,1
280.0,144,9.0,0
280.0,288,6.5,0
238.0,700,12.0,0
277.0,288,9.98,0
280.0,144,15.0,0
273.0,20000,6.49,1
284.0,312,11.6,0
284.0,900,11.85,0
49.0,187,16.42,0
135.0,437,16.42,0
287.0,180,13.9,0
292.0,600,8.48,0
267.0,3000,7.19,0
177.0,5500,5.78,0
372.0,7500,4.27,0
356.0,14000,4.88,1
264.0,9050,5.84,0
368.0,1,38000.0,1
354.0,4080,6.02,0
340.0,300,13.39,0
284.0,6000,6.47,0
393.0,15300,7.0,1
348.0,40000,6.49,1
382.0,1080,7.97,0
382.0,954,5.95,0
382.0,1800,5.99,0
382.0,1700,7.58,0
382.0,800,7.8,0
41.0,7318,2.95,1
156.0,8613,6.2,0
156.0,2871,6.2,0
115.0,72,7.0,1
115.0,290,7.5,0
115.0,72,7.0,1
115.0,318,7.0,0
115.0,72,7.0,1
115.0,345,7.0,0
115.0,144,7.5,0
115.0,644,7.5,0
115.0,635,5.57,0
115.0,336,7.7,0
115.0,72,7.7,1
115.0,390,7.7,0
115.0,400,5.69,0
115.0,1434,5.7,0
431.0,1032,13.0,0
266.0,2350,6.72,0
206.0,1,1.22,1
206.0,1,2.21,1
439.0,2000,9.81,0
406.0,6996,5.5,0
72.0,7538,6.5,0
126.0,2500,3.79,0
88.0,250,5.0,0
298.0,1100,12.39,0
406.0,1,2.0,1
107.0,3000,9.8,0
107.0,360,0.8,1
153.0,1008,9.0,0
85.0,600,12.97,0
204.0,1,0.89,1
237.0,1,2.5,1
92.0,1200,6.5,0
92.0,410,6.5,0
92.0,900,6.5,0
92.0,500,7.0,0
29.0,3840,4.0,0
14.0,2422,6.86,0
14.0,180,8.91,0
14.0,374,12.58,0
14.0,410,10.55,0
14.0,120,9.83,0
14.0,40,10.5,1
14.0,36,8.6,1
14.0,36,11.22,1
14.0,12,11.0,1
14.0,60,10.5,1
25.0,3000,7.9,0
210.0,2000,9.5,0
210.0,960,6.37,0
210.0,290,6.37,0
349.0,1460,3.55,0
25.0,1500,6.0,0
375.0,3000,7.59,0
375.0,600,11.68,0
375.0,600,9.33,0
375.0,600,11.68,0
307.0,50,16.85,1
134.0,3070,9.45,0
429.0,2500,6.0,0
60.0,2400,4.0,0
217.0,360,13.0,0
217.0,3600,9.91,0
217.0,600,12.5,0
217.0,400,12.5,0
217.0,1000,10.49,0
217.0,500,11.0,0
79.0,1200,11.99,0
79.0,540,12.0,0
168.0,11000,6.5,0
157.0,5000,6.99,0
86.0,1080,10.0,0
256.0,5,18.0,1
256.0,3000,6.0,0
367.0,2340,13.49,0
367.0,2400,1.4,1
183.0,1073,8.53,0
355.0,491,12.0,0
52.0,5760,7.99,0
64.0,10320,9.98,0
107.0,1,26733.0,1
161.0,120,7.24,0
161.0,120,7.24,0
161.0,200,7.24,0
161.0,120,7.24,0
161.0,120,7.24,0
161.0,120,7.24,0
169.0,5000,7.05,0
272.0,5000,10.45,0
277.0,4000,13.45,0
419.0,1440,11.37,0
419.0,4608,0.62,1
37.0,1440,10.58,0
37.0,4608,0.54,1
95.0,10,20.0,1
