licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,826286,2022-01-05,464393,280, ,5.0,1400.0,98558,13854,393.556,0
0,831473,2022-01-05,464393,600, ,4.63,2778.0,40339,0,0.0,0
0,831494,2022-01-05,464393,800, ,4.63,3704.0,40339,0,0.0,0
0,831500,2022-01-05,464393,500, ,4.63,2315.0,40339,0,0.0,0
0,831515,2022-01-05,464393,600, ,4.63,2778.0,40339,0,0.0,0
0,831520,2022-01-05,464393,200, ,4.63,926.0,40339,0,0.0,0
0,834110,2022-01-05,464393,500, ,3.16,1580.0,62294,0,0.0,0
0,842332,2022-01-10,464393,60, ,2.78,166.8,48658,0,0.0,0
0,842343,2022-01-10,464393,60, ,2.78,166.8,48658,0,0.0,0
0,842799,2022-01-07,464393,500, ,3.77,1885.0,7781,58076,18.0974,0
0,856934,2022-02-15,464393,100, ,3.44,344.0,54038,54038,0.0,0
0,862197,2022-02-22,464393,6200, ,1.49,9238.0,90476,90670,177.54,0
0,862767,2022-02-15,464393,300, ,2.6,780.0,52493,47333,117.504,0
0,863226,2022-02-22,464393,300, ,4.0,1200.0,2410,0,0.0,0
0,864336,2022-02-08,464393,3000, ,2.05,6150.0,46477,63690,53.1187,0
0,864419,2022-02-08,464393,3000, ,2.97,8910.0,46477,47791,95.5252,0
0,867543,2022-02-15,464393,1800, ,2.13,3834.0,50490,41238,331.56,0
0,870234,2022-03-10,464393,1500, ,1.29,1935.0,97012,97012,0.0,0
0,872922,2022-03-01,464393,14288, ,2.59,37005.9,53856,53856,0.0,0
0,874386,2022-02-02,464393,1750, ,3.64,6370.0,25313,25313,0.0,0
0,877838,2022-03-08,464393,360, ,11.03,3970.8,2356,2356,0.0,0
0,881263,2022-03-16,464393,700, ,4.25,2975.0,12190,0,0.0,0
0,885270,2022-03-29,464393,3000, ,0.3,900.0,58831,60011,137.403,0
0,885532,2022-04-04,464393,560, ,4.43,2482.48,2615,2615,0.0,0
0,885547,2022-04-04,464393,170, ,4.43,753.61,2615,0,0.0,0
0,885559,2022-04-04,464393,170, ,4.43,753.61,2615,0,0.0,0
0,886898,2022-04-07,464393,35, ,5.0,175.0,13854,13854,0.0,0
0,889431,2022-04-11,464393,1200, ,3.98,4776.0,62090,62090,0.0,0
0,889472,2022-04-07,464393,35, ,5.0,175.0,13854,13854,0.0,0
0,891910,2022-03-30,464393,600, ,6.0,3600.0,83399,0,0.0,0
0,893613,2022-03-30,464393,2000, ,1.9,3800.0,58831,60011,137.403,0
0,896720,2022-04-18,464393,320, ,3.5,1120.0,52493,47333,117.504,0
0,897917,2022-04-18,464393,320, ,3.5,1120.0,52493,47333,117.504,0
0,900925,2022-04-13,464393,2400, ,6.29,15096.0,48658,48658,0.0,0
0,902436,2022-04-26,464393,800, ,5.09,4072.0,50490,41238,331.56,0
0,902594,2022-05-10,464393,20, ,3.87,77.4,47333,47333,0.0,0
0,902687,2022-05-10,464393,300, ,3.87,1161.0,47333,47333,0.0,0
0,902723,2022-05-10,464393,400, ,3.87,1548.0,47333,47333,0.0,0
0,903029,2022-05-05,464393,600, ,3.87,2322.0,47333,47333,0.0,0
0,903206,2022-05-06,464393,400, ,3.87,1548.0,47333,47333,0.0,0
0,903448,2022-05-06,464393,60, ,3.25,195.0,60011,58696,31.873,0
0,903449,2022-05-06,464393,1350, ,3.25,4387.5,60011,58696,31.873,0
0,904675,2022-05-03,464393,3609, ,3.75,13533.8,20036,20036,0.0,0
0,904722,2022-05-10,464393,200, ,4.85,970.0,3018,3018,0.0,0
0,907831,2022-05-10,464393,2750, ,2.65,7287.5,60011,60011,0.0,0
0,910441,2022-05-18,464393,900, ,3.87,3483.0,47333,47333,0.0,0
0,911365,2022-05-19,464393,1800, ,3.87,6966.0,47333,47333,0.0,0
0,911576,2022-05-18,464393,5000, ,4.6,23000.0,46477,46477,0.0,0
0,912745,2022-05-06,464393,800, ,3.87,3096.0,47333,47333,0.0,0
0,913110,2022-03-25,464393,320, ,2.8,896.0,58475,60011,157.017,0
0,913615,2022-03-14,464393,2400, ,3.0,7200.0,93610,95958,30.7342,0
0,915061,2022-05-02,464393,1920, ,3.2,6144.0,35,51,319.193,0
0,921599,2022-06-01,464393,285, ,5.0,1425.0,13854,13854,0.0,0
0,921789,2022-05-30,464393,1865, ,3.92,7310.8,81051,82937,80.5778,0
0,923277,2022-05-30,464393,1865, ,3.92,7310.8,81051,81833,176.766,0
0,926715,2022-05-31,464393,66500, ,2.72,180880.0,97012,93734,174.558,0
0,926970,2022-06-08,464393,2370, ,3.89,9219.3,97012,95958,50.0639,0
0,927877,2022-06-10,464393,180, ,4.36,784.8,13897,0,0.0,0
0,929170,2022-06-13,464393,240, ,3.3,792.0,54275,95710,1454.23,0
0,929190,2022-05-26,464393,3000, ,4.06,12180.0,89877,0,0.0,0
