licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,843328,2022-01-10,461652,20, ,115.0,2300.0,27855,27855,0.0,0
0,843351,2022-01-21,461652,65, ,10.0,650.0,75353,74934,425.147,0
0,846881,2022-02-03,461652,520, ,8.85,4602.0,46477,46477,0.0,0
0,846930,2022-01-20,461652,4, ,110.0,440.0,90514,90638,354.512,0
0,846931,2022-01-20,461652,24, ,435.0,10440.0,90514,90638,354.512,0
0,851096,2022-02-09,461652,2, ,119.5,239.0,13897,20516,555.464,0
0,851097,2022-02-09,461652,0, ,119.5,0.0,13897,20516,555.464,0
0,851098,2022-02-09,461652,0, ,119.5,0.0,13897,20516,555.464,0
0,863361,2022-02-25,461652,80, ,115.0,9200.0,54011,54011,0.0,0
0,864081,2022-02-21,461652,80, ,110.7,8856.0,90476,90670,177.54,0
0,864941,2022-01-28,461652,40, ,395.0,15800.0,88013,88013,0.0,0
0,865952,2022-02-24,461652,311, ,147.6,45903.6,1074,1058,570.72,0
0,867385,2022-03-07,461652,15, ,150.0,2250.0,40339,40339,0.0,0
0,869112,2022-03-09,461652,5850, ,8.53,49900.5,54275,51152,64.9872,0
0,869113,2022-03-09,461652,6750, ,8.53,57577.5,54275,51152,64.9872,0
0,870269,2022-03-09,461652,455, ,9.14,4158.7,13510,20516,812.229,0
0,871229,2022-03-09,461652,55, ,107.32,5902.6,13897,15598,200.411,0
0,871241,2022-03-09,461652,15, ,107.32,1609.8,13897,15598,200.411,0
0,871433,2022-03-11,461652,650, ,9.66,6279.0,47031,47031,0.0,0
0,874805,2022-03-16,461652,10, ,105.0,1050.0,13897,15377,148.669,0
0,878059,2022-03-24,461652,10, ,118.0,1180.0,13897,13552,111.088,0
0,881507,2022-03-28,461652,20, ,110.0,2200.0,13897,0,0.0,0
0,882699,2022-03-28,461652,20, ,110.0,2200.0,13897,0,0.0,0
0,882730,2022-03-28,461652,20, ,110.0,2200.0,13897,0,0.0,0
0,886227,2022-04-05,461652,12, ,109.5,1314.0,38490,38970,360.16,0
0,886244,2022-04-05,461652,6, ,105.0,630.0,38490,39934,525.039,0
0,891731,2022-04-13,461652,3900, ,7.62,29718.0,47635,47635,0.0,0
0,892638,2022-04-19,461652,8, ,110.0,880.0,41238,0,0.0,0
0,897355,2022-04-04,461652,22500, ,12.67,285075.0,46477,46477,0.0,0
0,897356,2022-04-04,461652,1300, ,11.76,15288.0,46477,46477,0.0,0
0,902895,2022-05-04,461652,1690, ,9.56,16156.4,75353,85898,534.222,0
0,902896,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,902897,2022-05-04,461652,26, ,9.56,248.56,75353,85898,534.222,0
0,902898,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,902899,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,902900,2022-05-04,461652,26, ,9.56,248.56,75353,85898,534.222,0
0,902901,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,902902,2022-05-04,461652,13, ,9.56,124.28,75353,85898,534.222,0
0,902903,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,902904,2022-05-04,461652,13, ,9.56,124.28,75353,85898,534.222,0
0,902905,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,902906,2022-05-04,461652,45, ,8.85,398.25,75353,85898,534.222,0
0,904407,2022-05-04,461652,1690, ,9.56,16156.4,75353,85898,534.222,0
0,904408,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,904409,2022-05-04,461652,26, ,9.56,248.56,75353,85898,534.222,0
0,904410,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,904411,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,904412,2022-05-04,461652,26, ,9.56,248.56,75353,85898,534.222,0
0,904413,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,904414,2022-05-04,461652,13, ,9.56,124.28,75353,85898,534.222,0
0,904415,2022-05-04,461652,39, ,9.56,372.84,75353,85898,534.222,0
0,904416,2022-05-04,461652,13, ,9.56,124.28,75353,85898,534.222,0
0,904417,2022-05-04,461652,52, ,9.56,497.12,75353,85898,534.222,0
0,904418,2022-05-04,461652,45, ,8.85,398.25,75353,85898,534.222,0
0,904620,2022-05-09,461652,17, ,128.0,2176.0,3018,3018,0.0,0
0,904621,2022-05-09,461652,4, ,128.0,512.0,3018,3018,0.0,0
0,904622,2022-05-09,461652,3, ,128.0,384.0,3018,3018,0.0,0
0,904623,2022-05-09,461652,17, ,128.0,2176.0,3018,3018,0.0,0
0,906334,2022-05-09,461652,84, ,132.5,11130.0,24970,24139,184.767,0
0,906335,2022-05-09,461652,26, ,456.0,11856.0,24970,24139,184.767,0
0,906637,2022-05-11,461652,10, ,149.99,1499.9,2550,2836,852.869,0
0,906644,2022-05-11,461652,19, ,149.98,2849.62,2550,2836,852.869,0
