licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
1,12001605000652022,2022-08-04,481567,1,Unidade             ,628.9,628.9,70998,71072,86.0422,0
2,12001605000652022,2022-08-04,481567,2,Unidade             ,365.0,730.0,70998,71072,86.0422,0
3,12001605000652022,2022-08-04,481567,1,Unidade             ,450.0,450.0,70998,71072,86.0422,0
4,12001605000652022,2022-08-04,481567,1,Unidade             ,390.0,390.0,70998,69698,299.584,0
5,12001605000652022,2022-08-04,481567,1,Unidade             ,325.0,325.0,70998,62499,264.114,0
7,12001605000652022,2022-08-04,481567,1,Unidade             ,152.0,152.0,70998,69698,299.584,0
9,12001605000652022,2022-08-04,481567,1,Unidade             ,777.0,777.0,70998,71072,86.0422,1
11,12001605000652022,2022-08-04,481567,1,Unidade             ,850.0,850.0,70998,71072,86.0422,1
13,12001605000652022,2022-08-04,481567,1,Unidade             ,540.0,540.0,70998,97012,851.36,1
1,15316405002342022,2022-11-22,481567,2,Unidade             ,265000.0,530000.0,88412,41238,1474.34,1
1,15450305000882022,2022-10-21,481567,588,Unidade             ,28.88,16985.1,70572,71072,18.477,0
1,15450305000982022,2022-10-24,481567,125,Unidade             ,270.28,33785.9,70572,71072,18.477,0
2,15667905002832022,2022-12-05,481567,2,Unidade             ,29.4,58.8,93017,71072,612.002,0
3,15667905002832022,2022-12-05,481567,1,Unidade             ,69.33,69.33,93017,71072,612.002,0
4,15667905002832022,2022-12-05,481567,1,Unidade             ,50.94,50.94,93017,71072,612.002,0
5,15667905002832022,2022-12-05,481567,1,Unidade             ,78.0,78.0,93017,71072,612.002,0
6,15667905002832022,2022-12-05,481567,1,Unidade             ,51.35,51.35,93017,71072,612.002,0
7,15667905002832022,2022-12-05,481567,5,Unidade             ,40.15,200.75,93017,71072,612.002,0
8,15667905002832022,2022-12-05,481567,5,Unidade             ,195.99,979.95,93017,71072,612.002,0
9,15667905002832022,2022-12-05,481567,1,Unidade             ,174.58,174.58,93017,71072,612.002,0
12,15667905002832022,2022-12-05,481567,1,Unidade             ,60.66,60.66,93017,71072,612.002,0
13,15667905002832022,2022-12-05,481567,1,Unidade             ,197.99,197.99,93017,71072,612.002,0
14,15667905002832022,2022-12-05,481567,1,Unidade             ,68.93,68.93,93017,71072,612.002,0
16,15667905002832022,2022-12-05,481567,3,Unidade             ,39.37,118.11,93017,71072,612.002,0
18,15667905002832022,2022-12-05,481567,1,Unidade             ,470.0,470.0,93017,71072,612.002,0
19,15667905002832022,2022-12-05,481567,1,Unidade             ,22.2,22.2,93017,71072,612.002,0
20,15667905002832022,2022-12-05,481567,1,Unidade             ,50.46,50.46,93017,71072,612.002,0
22,15667905002832022,2022-12-05,481567,1,Unidade             ,128.64,128.64,93017,71072,612.002,0
23,15667905002832022,2022-12-05,481567,1,Unidade             ,89.95,89.95,93017,71072,612.002,0
27,15667905002832022,2022-12-05,481567,1,Unidade             ,65.9,65.9,93017,71072,612.002,0
28,15667905002832022,2022-12-05,481567,5,Unidade             ,56.0,280.0,93017,71072,612.002,0
29,15667905002832022,2022-12-05,481567,1,Unidade             ,106.15,106.15,93017,71072,612.002,0
30,15667905002832022,2022-12-05,481567,1,Unidade             ,80.5,80.5,93017,71072,612.002,0
31,15667905002832022,2022-12-05,481567,1,Unidade             ,120.47,120.47,93017,71072,612.002,0
32,15667905002832022,2022-12-05,481567,1,Unidade             ,29.76,29.76,93017,71072,612.002,0
34,15667905002832022,2022-12-05,481567,1,Unidade             ,37.26,37.26,93017,71072,612.002,0
38,15667905002832022,2022-12-05,481567,1,Unidade             ,33.6,33.6,93017,71072,612.002,0
39,15667905002832022,2022-12-05,481567,1,Unidade             ,38.41,38.41,93017,71072,612.002,0
40,15667905002832022,2022-12-05,481567,1,Unidade             ,35.0,35.0,93017,71072,612.002,0
41,15667905002832022,2022-12-05,481567,1,Unidade             ,47.6,47.6,93017,71072,612.002,0
42,15667905002832022,2022-12-05,481567,1,Unidade             ,40.5,40.5,93017,71072,612.002,0
