licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0
0,831916,2022-01-13,460872,12, ,1698.33,20380.0,132,35,603.842,1
0,873823,2022-01-13,460872,12, ,1698.33,20380.0,132,35,603.842,1
0,881596,2022-03-29,460872,1, ,845.28,845.28,35,35,0.0,0
0,881600,2022-03-29,460872,1, ,724.53,724.53,35,35,0.0,0
0,881614,2022-03-29,460872,1, ,10626.4,10626.4,35,35,0.0,0
0,890434,2022-04-13,460872,12, ,9000.0,108000.0,90514,90514,0.0,0
0,892789,2022-04-18,460872,4, ,596.67,2386.68,22250,22250,0.0,0
0,892793,2022-04-18,460872,2, ,660.0,1320.0,22250,22250,0.0,0
0,892799,2022-04-18,460872,2, ,570.0,1140.0,22250,22250,0.0,0
0,892801,2022-04-18,460872,2, ,583.33,1166.66,22250,22250,0.0,0
0,897954,2022-04-13,460872,12, ,9000.0,108000.0,90514,90514,0.0,0
0,924657,2022-05-30,460872,1, ,42580.0,42580.0,75353,75353,0.0,1
0,932690,2022-05-20,460872,1, ,222255.0,222255.0,97012,97012,0.0,1
0,944997,2022-06-27,460872,1, ,4000.0,4000.0,97330,97330,0.0,0
0,945837,2022-07-08,460872,2, ,590.0,1180.0,35,35,0.0,0
0,945838,2022-07-08,460872,6, ,600.0,3600.0,35,35,0.0,0
0,945839,2022-07-08,460872,2, ,959.8,1919.6,35,35,0.0,0
0,945840,2022-07-08,460872,1, ,959.8,959.8,35,35,0.0,0
0,945841,2022-07-08,460872,1, ,983.0,983.0,35,35,0.0,0
0,945842,2022-07-08,460872,2, ,190.0,380.0,35,35,0.0,0
0,945843,2022-07-08,460872,6, ,190.0,1140.0,35,35,0.0,0
0,945844,2022-07-08,460872,2, ,190.0,380.0,35,35,0.0,0
0,945845,2022-07-08,460872,1, ,230.0,230.0,35,35,0.0,0
0,945846,2022-07-08,460872,1, ,230.0,230.0,35,35,0.0,0
0,945847,2022-07-08,460872,2, ,250.0,500.0,35,35,0.0,0
0,945848,2022-07-08,460872,6, ,250.0,1500.0,35,35,0.0,0
0,945849,2022-07-08,460872,2, ,250.0,500.0,35,35,0.0,0
0,945850,2022-07-08,460872,1, ,250.0,250.0,35,35,0.0,0
0,945851,2022-07-08,460872,1, ,250.0,250.0,35,35,0.0,0
0,945852,2022-07-08,460872,2, ,251.95,503.9,35,35,0.0,0
0,945853,2022-07-08,460872,6, ,251.95,1511.7,35,35,0.0,0
0,945854,2022-07-08,460872,2, ,251.95,503.9,35,35,0.0,0
0,945855,2022-07-08,460872,1, ,261.95,261.95,35,35,0.0,0
0,945856,2022-07-08,460872,1, ,264.94,264.94,35,35,0.0,0
0,945857,2022-07-08,460872,2, ,180.0,360.0,35,35,0.0,0
0,945858,2022-07-08,460872,6, ,180.0,1080.0,35,35,0.0,0
0,945859,2022-07-08,460872,2, ,180.0,360.0,35,35,0.0,0
0,945860,2022-07-08,460872,1, ,200.0,200.0,35,35,0.0,0
0,945861,2022-07-08,460872,1, ,200.0,200.0,35,35,0.0,0
0,945862,2022-07-08,460872,2, ,193.2,386.4,35,35,0.0,0
0,945863,2022-07-08,460872,6, ,185.0,1110.0,35,35,0.0,0
0,945864,2022-07-08,460872,2, ,173.06,346.12,35,35,0.0,0
0,945865,2022-07-08,460872,1, ,173.06,173.06,35,35,0.0,0
0,945866,2022-07-08,460872,1, ,173.06,173.06,35,35,0.0,0
0,945867,2022-07-08,460872,21, ,140.0,2940.0,35,35,0.0,0
0,945868,2022-07-08,460872,87, ,140.0,12180.0,35,35,0.0,0
0,945869,2022-07-08,460872,90, ,180.0,16200.0,35,35,0.0,0
0,945870,2022-07-08,460872,10, ,180.0,1800.0,35,35,0.0,0
0,945871,2022-07-08,460872,20, ,180.0,3600.0,35,35,0.0,0
0,945892,2022-07-08,460872,2, ,585.0,1170.0,35,35,0.0,0
0,945893,2022-07-08,460872,7, ,585.0,4095.0,35,35,0.0,0
0,945894,2022-07-08,460872,3, ,1012.25,3036.75,35,35,0.0,0
0,945895,2022-07-08,460872,1, ,983.0,983.0,35,35,0.0,0
0,945896,2022-07-08,460872,1, ,983.0,983.0,35,35,0.0,0
0,945897,2022-07-08,460872,2, ,200.0,400.0,35,35,0.0,0
0,945898,2022-07-08,460872,7, ,200.0,1400.0,35,35,0.0,0
0,945899,2022-07-08,460872,3, ,200.0,600.0,35,35,0.0,0
0,945900,2022-07-08,460872,1, ,200.0,200.0,35,35,0.0,0
0,945901,2022-07-08,460872,1, ,200.0,200.0,35,35,0.0,0
0,945902,2022-07-08,460872,2, ,350.0,700.0,35,35,0.0,0
0,945903,2022-07-08,460872,7, ,350.0,2450.0,35,35,0.0,0
0,945904,2022-07-08,460872,3, ,350.0,1050.0,35,35,0.0,0
