combinacao;lista_detectores;acuracia;recall;f1
113;INNE+PCA+Sampling+ECOD+COPOD;90,81;94,26;43,2
114;KNN+LOF+PCA+Sampling+ECOD;93,37;94,54;51,22
115;KNN+LOF+PCA+Sampling+COPOD;90,34;93,83;41,34
116;KNN+LOF+PCA+ECOD+COPOD;90,22;89,29;40,59
117;KNN+LOF+Sampling+ECOD+COPOD;90,22;89,29;40,59
118;KNN+PCA+Sampling+ECOD+COPOD;90,27;91,26;41,06
119;LOF+PCA+Sampling+ECOD+COPOD;90,22;89,29;40,59
120;INNE+KNN+LOF+PCA+Sampling+ECOD;93,9;94,59;52,53
121;INNE+KNN+LOF+PCA+Sampling+COPOD;91,01;96,88;44,43
122;INNE+KNN+LOF+PCA+ECOD+COPOD;90,76;92,29;42,73
123;INNE+KNN+LOF+Sampling+ECOD+COPOD;90,76;92,29;42,73
124;INNE+KNN+PCA+Sampling+ECOD+COPOD;90,81;94,26;43,2
125;INNE+LOF+PCA+Sampling+ECOD+COPOD;90,76;92,29;42,73
126;KNN+LOF+PCA+Sampling+ECOD+COPOD;90,22;89,29;40,59
127;INNE+KNN+LOF+PCA+Sampling+ECOD+COPOD;90,76;92,29;42,73
