licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,824976,2022-01-06,463753,150, ,4.28,642.0,39136,35238,157.452,0
0,825438,2022-01-05,463753,180, ,5.14,925.2,98558,13854,393.556,0
0,831384,2022-01-12,463753,1000, ,4.0,4002.5,34495,34495,0.0,0
0,831493,2022-01-05,463753,250, ,6.6,1650.0,40339,0,0.0,0
0,831499,2022-01-05,463753,151, ,6.6,996.6,40339,0,0.0,0
0,831514,2022-01-05,463753,500, ,6.6,3300.0,40339,0,0.0,0
0,831527,2022-01-05,463753,300, ,6.6,1980.0,40339,0,0.0,0
0,842487,2022-01-07,463753,83, ,7.04,584.32,7781,0,0.0,0
0,842675,2022-01-07,463753,83, ,7.04,584.32,7781,0,0.0,0
0,842705,2022-01-07,463753,83, ,7.04,584.32,7781,0,0.0,0
0,842773,2022-01-07,463753,83, ,7.04,584.32,7781,0,0.0,0
0,847423,2022-01-18,463753,1100, ,3.5,3850.0,17655,0,0.0,0
0,849777,2022-02-01,463753,336, ,1.95,655.2,17612,0,0.0,0
0,858848,2022-02-18,463753,681, ,3.71,2526.51,23272,23272,0.0,0
0,861309,2022-02-23,463753,400, ,4.43,1772.0,36617,0,0.0,0
0,862191,2022-02-22,463753,2000, ,4.99,9980.0,90476,90670,177.54,0
0,863651,2022-03-02,463753,320, ,2.57,822.4,20516,21750,12.272,0
0,864328,2022-02-08,463753,600, ,2.98,1788.0,46477,63690,53.1187,0
0,864332,2022-02-08,463753,300, ,2.45,735.0,46477,63690,53.1187,0
0,864691,2022-02-15,463753,400, ,3.25,1300.0,18490,0,0.0,0
0,867552,2022-03-04,463753,333, ,4.23,1408.59,12190,0,0.0,0
0,868265,2022-02-18,463753,50, ,3.5,175.0,4278,4472,66.0688,0
0,870206,2022-03-09,463753,500, ,1.9,950.0,97012,97012,0.0,0
0,872870,2022-03-01,463753,3600, ,2.89,10404.0,53856,47791,69.3291,0
0,876327,2022-03-21,463753,800, ,3.88,3104.0,88510,88510,0.0,0
0,876328,2022-03-21,463753,1500, ,4.08,6120.0,88510,88510,0.0,0
0,876392,2022-03-21,463753,850, ,3.88,3298.0,88510,88650,47.7038,0
0,876393,2022-03-21,463753,2030, ,4.08,8282.4,88510,88650,47.7038,0
0,876520,2022-01-19,463753,1200, ,4.28,5136.0,14478,13854,11.5267,0
0,877835,2022-03-08,463753,150, ,6.1,915.0,2356,2356,0.0,0
0,881259,2022-03-16,463753,198, ,3.95,782.1,12190,0,0.0,0
0,882375,2022-03-24,463753,50, ,1.97,98.5,47333,47333,0.0,0
0,883431,2022-03-30,463753,19967, ,4.25,84859.8,88412,88412,0.0,0
0,886906,2022-04-07,463753,350, ,4.28,1498.0,13854,13854,0.0,0
0,887501,2022-04-06,463753,4500, ,3.5,15750.0,87912,87912,0.0,0
0,889319,2022-04-05,463753,567, ,2.36,1338.12,20397,62812,1454.23,0
0,889405,2022-04-05,463753,567, ,2.36,1338.12,20397,67890,1454.23,0
0,889416,2022-04-11,463753,480, ,4.45,2136.0,62090,62090,0.0,0
0,889480,2022-04-07,463753,350, ,4.28,1498.0,13854,13854,0.0,0
0,891888,2022-03-30,463753,800, ,7.93,6344.0,83399,0,0.0,1
0,892162,2022-04-12,463753,800, ,3.97,3176.0,90417,60011,1454.23,0
0,896732,2022-04-18,463753,160, ,3.34,534.4,52493,47333,117.504,0
0,897929,2022-04-18,463753,160, ,3.34,534.4,52493,47333,117.504,0
0,898963,2022-04-13,463753,1200, ,6.29,7548.0,48658,0,0.0,0
0,899014,2022-04-20,463753,120, ,5.9,708.0,32336,31054,18.5639,0
0,900021,2022-04-20,463753,2500, ,3.3,8250.0,40690,0,0.0,0
0,901652,2022-05-04,463753,8814, ,1.97,17363.6,20516,21750,12.272,0
0,904601,2022-04-27,463753,1600, ,3.41,5456.0,20036,0,0.0,0
0,904737,2022-05-10,463753,30, ,4.6,138.0,3018,3018,0.0,0
0,907820,2022-05-10,463753,1500, ,1.99,2985.0,60011,60011,0.0,0
0,909113,2022-05-10,463753,3850, ,3.05,11742.5,17612,17612,0.0,0
0,909607,2022-05-13,463753,3000, ,3.47,10410.0,57053,57258,55.3709,0
0,909674,2022-05-13,463753,1600, ,3.39,5424.0,57053,57258,55.3709,0
0,909702,2022-05-13,463753,800, ,3.51,2808.0,57053,57258,55.3709,0
0,910428,2022-05-18,463753,300, ,4.45,1335.0,47333,47333,0.0,0
