codigo,descricao,codigo_grupo
1398,EQUIPAMENTOS ESPECIALIZADOS PARA MANUSEIO E CONSERVACAO DE MUNICAO                                                      ,13
1410,MÍSSEIS GUIADOS                                                                                                         ,14
1420,COMPONENTES DE MÍSSEIS GUIADOS                                                                                          ,14
1425,SISTEMAS COMPLETOS DE MÍSSEIS GUIADOS                                                                                   ,14
1427,SUBSISTEMAS DE MÍSSEIS GUIADOS                                                                                          ,14
1430,SISTEMA DE CONTROLE REMOTO DE MÍSSEIS GUIADOS                                                                           ,14
1440,LANÇADORES DE MÍSSEIS GUIADOS                                                                                           ,14
1450,EQUIPAMENTO PARA MANUSEIO DE MANUTENÇÃO DE MÍSSEIS GUIADOS                                                              ,14
1495,MISSEIS GUIADOS DIVERSOS                                                                                                ,14
1505,AERONAVES                                                                                                               ,15
1510,AERONAVES DE ASAS FIXAS                                                                                                 ,15
1515,HELICES DE AERONAVES E COMPONENTES                                                                                      ,15
1520,AERONAVES DE ASA ROTATIVAS                                                                                              ,15
1525,COMPONENTES DE SISTEMA DE FREIOS E RODAS                                                                                ,15
1530,"COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E  DEGELAMENTO                                                               ",15
1535,"COMPONENTE DE SISTEMAS DE CONDICIONAMENTO  DE  AR,DO AQUECIMENTO E DE PRESSURIZACAO                                     ",15
1540,PLANADORES                                                                                                              ,15
1550,AERONAVES TELEGUIADAS                                                                                                   ,15
1560,COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,15
1595,AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS                                                                            ,15
1610,HELICES DE AERONAVES                                                                                                    ,16
1615,"PÁS DE ROTOR DE HELICOPTERO, MECANISMOS DE TRANSMISSÃO E    COMPONENTES                                                 ",16
1620,COMPONENTES DE TREM DE POUSO DE AERONAVE                                                                                ,16
1630,SISTEMAS DE RODAS E DE FREIO DE AERONAVES                                                                               ,16
1650,"COMPONENTES DOS SISTEMAS HIDRÁULICOS,DE VÁCUO E DEGELO      DE AERONAVES                                                ",16
1660,"EQUIPAMENTOS DE AR CONCICIONADO, AQUECIMENTO E PRESSURIZAÇÃODE AERONAVES                                                ",16
1670,"PÁRA-QUEDAS,SISTEMAS DE COLETA, LANÇAMENTO E RESGATE AÉREO  E EQUIPAMENTOS DE AMARRAÇÃO DE CARGAS                       ",16
1680,ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,16
1695,COMPONENTES E ACESSORIOS DE AERONAVES DIVERSOS                                                                          ,16
1705,EQUIPAMENTOS PARA SERVICOS DE AERODROMOS                                                                                ,17
1710,EQUIPAMENTOS PARA POUSO DE AERONAVES                                                                                    ,17
1720,EQUIPAMENTOS PARA LANÇAMENTO DE AERONAVES                                                                               ,17
1730,EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                                          ,17
1740,TRATORES E REBOQUES ESPECIALIZADOS PARA AEROPORTOS                                                                      ,17
1795,"EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA  DE  AERONAVESDIVERSOS                                                    ",17
1805,VEICULOS                                                                                                                ,18
1810,VEÍCULOS ESPACIAIS                                                                                                      ,18
1820,COMPONENTES DE VEICULOS ESPACIAIS                                                                                       ,18
1830,SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS                                                                       ,18
1840,LANCADORES DE VEICULOS ESPACIAIS                                                                                        ,18
1850,EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS                                                               ,18
1860,EQUIPAMENTOS DE SOBREVIVÊNCIA ESPACIAL                                                                                  ,18
1895,VEICULOS ESPACIAIS DIVERSOS                                                                                             ,18
1905,NAVIOS DE GUERRA E EMBARCACOES DE DESEMBARQUE                                                                           ,19
1910,NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA                                                                         ,19
1915,NAVIOS TANQUES E CARGUEIROS                                                                                             ,19
1920,NAVIOS PESQUEIROS                                                                                                       ,19
1925,NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,19
1930,BATELOES E CHATAS PARA CARGAS                                                                                           ,19
1935,BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,19
1940,EMBARCAÇÕES PEQUENAS                                                                                                    ,19
1945,PONTÕES E DOCAS FLUTUANTES                                                                                              ,19
1950,DIQUES FLUTUANTES                                                                                                       ,19
1955,DRAGAS                                                                                                                  ,19
1990,EMBARCACOES DIVERSAS                                                                                                    ,19
2010,EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES                                                                       ,20
2020,CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,20
2030,MAQUINARIA DE CONVES                                                                                                    ,20
2040,FERRAGENS DE MARINHARIA E ITENS DE CASCO                                                                                ,20
2050,BOIAS                                                                                                                   ,20
2060,EQUIPAMENTO COMERCIAL DE PESCA                                                                                          ,20
2090,EQUIPAMENTOS DIVERSOS PARA NAVIOS E MARINHARIA                                                                          ,20
2210,LOCOMOTIVAS                                                                                                             ,22
2220,VAGÕES FERROVIÁRIOS                                                                                                     ,22
2230,EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA                                                             ,22
2240,ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,22
2250,MATERIAIS DE FERROVIA                                                                                                   ,22
2305,VEÍCULOS DE EFEITO-SOLO                                                                                                 ,23
2310,VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,23
2315,VEICULOS DE SERVICOS ESPECIAIS                                                                                          ,23
2320,VEÍCULOS SOBRE RODAS                                                                                                    ,23
2330,REBOQUES                                                                                                                ,23
2340,"MOTOCICLETAS, MOTONETAS E BICICLETAS                                                                                    ",23
2350,VEÍCULOS TÁTICOS SOBRE LAGARTAS                                                                                         ,23
2410,TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,24
2420,TRATORES SOBRE RODAS                                                                                                    ,24
2430,TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS                                                                              ,24
2510,"COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",25
2520,COMPONENTES DE TRANSMISSÃO DE VEÍCULOS                                                                                  ,25
2530,"COMPONENTES DE FREIO, DIREÇÃO, EIXO, RODA E LAGARTA  DE  VEÍCULOS                                                       ",25
2540,EQUIPAMENTO E ACESSÓRIOS PARA VEÍCULOS                                                                                  ,25
2541,ACESSÓRIOS VEICULARES ESPECÍFICOS PARA SISTEMAS DE ARMAS                                                                ,25
2590,COMPONENTES DIVERSOS PARA VEÍCULOS                                                                                      ,25
2610,"PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES                                                                           ",26
2620,PNEUS E CÂMARAS DE AR DE AERONAVES                                                                                      ,26
2630,PNEUS MACIÇO E DE BAIXA PRESSÃO                                                                                         ,26
2640,MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,26
2805,"MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",28
2810,MOTORES A GASOLINA PARA AERONAVES E COMPONENTES                                                                         ,28
2815,MOTORES DIESEL E COMPONENTES                                                                                            ,28
2820,MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES                                                                             ,28
2825,TURBINAS A VAPOR E COMPONENTES                                                                                          ,28
2830,TURBINAS E RODAS D'ÁGUA E COMPONENTES                                                                                   ,28
2835,"TURBINAS A GÁS E MOTORES A JATO E COMPONENTES, EXCETO OS  DEAERONAVE                                                    ",28
2840,TURBINAS A GÁS E MOTORES A JATO DE AERONAVES E COMPONENTES                                                              ,28
2845,MOTORES DE FOGUETES E COMPONENTES                                                                                       ,28
2850,MOTORES ROTATIVOS A GASOLINA E COMPONENTES                                                                              ,28
2895,MOTORES DIVERSOS E COMPONENTES                                                                                          ,28
2910,"COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE  MOTORES, EXCETO OSDE AERONAVES                                                ",29
2915,COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE MOTORES  DE  AERONAVES                                                         ,29
2920,"COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",29
2925,COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,29
2930,"COMPONENTES DO SISTEMA DE  RESFRIAMENTO  (ARREFECIMENTO)  DEMOTORES, EXCETO DE AERONAVES                                ",29
2935,COMPONENTES DO SISTEMA DE  RESFRIAMENTO  (ARREFECIMENTO)  DEMOTORES DE AERONAVES                                        ,29
2940,"FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES                         ",29
2945,FILTROS DE AR E DE ÓLEO; ELEMENTOS FILTRANTES PURIFICADORES DE MOTORES DE AERONAVES.                                    ,29
2950,TURBO- SUPERCOMPRESSORES                                                                                                ,29
2990,"ACESSÓRIOS DIVERSOS DE MOTORES, EXCETO OS DE AERONAVES                                                                  ",29
2995,ACESSÓRIOS DIVERSOS DE MOTORES DE AERONAVES                                                                             ,29
3010,CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE                                                                           ,30
3020,"ENGRENAGENS, POLIAS, COROAS DENTADAS E  CORRENTES  DE  TRANSMISSÃO                                                      ",30
3030,"CORREAME, CORREIAS DE TRANSMISSÃO, CORREIAS DOS VENTILADORESE ACESSÓRIOS                                                ",30
3040,EQUIPAMENTOS DIVERSOS DE TRANSMISSÃO DE FORÇA                                                                           ,30
3110,ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,31
3120,MANCAIS NÃO MONTADOS                                                                                                    ,31
3130,ROLAMENTOS E MANCAIS MONTADOS                                                                                           ,31
3210,MÁQUINAS PARA SERRARIA E PREPARO DE MADEIRA                                                                             ,32
3220,MÁQUINAS PARA TRABALHOS EM MADEIRA                                                                                      ,32
3230,FERRAMENTAS E ACESSÓRIOS DE MÁQUINAS PARA TRABALHO EM  MADEIRA                                                          ,32
3405,MÁQUINAS DE SERRAR E LIMAR                                                                                              ,34
3408,MÁQUINAS DE FUNÇÕES MÚLTIPLAS                                                                                           ,34
3410,"MÁQUINAS DE DESBASTAR, ELÉTRICAS E ULTRA-SÔNICAS                                                                        ",34
